protocol,size,variable,mean,std,IQR,min,max,count
grpc,1,server_processing_ms,0.1266,0.0271,0.0217,0.1017,0.2997,100
grpc,10,server_processing_ms,0.1402,0.0216,0.0124,0.1130,0.2790,100
grpc,100,server_processing_ms,0.2336,0.0183,0.0158,0.2091,0.3448,100
grpc,1000,server_processing_ms,1.1221,0.0651,0.0225,1.0802,1.6604,100
grpc,10000,server_processing_ms,10.2910,0.2481,0.1659,10.0516,11.4034,100
grpc,100000,server_processing_ms,101.3419,2.1167,0.5641,99.3419,115.1830,100
grpc,1000000,server_processing_ms,1048.0648,18.9269,18.0860,1032.1402,1165.7996,100
rest_json,1,server_processing_ms,0.2858,0.3740,0.0078,0.2349,3.9841,100
rest_json,10,server_processing_ms,0.3021,0.2680,0.0083,0.2583,2.9486,100
rest_json,100,server_processing_ms,0.5083,0.2597,0.0114,0.4580,3.0721,100
rest_json,1000,server_processing_ms,2.5138,0.2801,0.0366,2.4461,5.2518,100
rest_json,10000,server_processing_ms,23.9293,0.6127,0.1340,23.4456,28.7697,100
rest_json,100000,server_processing_ms,243.9995,1.8744,0.8072,242.3393,257.5811,100
rest_json,1000000,server_processing_ms,2574.6116,19.0353,12.3935,2553.2656,2686.9444,100
rest_proto,1,server_processing_ms,0.2823,0.3090,0.0091,0.2357,3.3357,100
rest_proto,10,server_processing_ms,0.2891,0.2674,0.0156,0.2457,2.9311,100
rest_proto,100,server_processing_ms,0.3818,0.2773,0.0128,0.3378,3.1209,100
rest_proto,1000,server_processing_ms,1.2685,0.2771,0.0342,1.2045,3.9968,100
rest_proto,10000,server_processing_ms,10.1711,0.4253,0.0857,9.9222,13.5674,100
rest_proto,100000,server_processing_ms,98.5793,1.9046,0.3556,97.6812,114.5020,100
rest_proto,1000000,server_processing_ms,1030.9580,16.0557,19.8948,1014.8356,1150.3397,100
grpc,1,request_latency_ms,3.7163,0.4086,0.0879,3.5297,7.6752,100
grpc,10,request_latency_ms,3.6649,0.0928,0.0911,3.5360,4.2311,100
grpc,100,request_latency_ms,3.6836,0.1031,0.1000,3.5520,4.3645,100
grpc,1000,request_latency_ms,3.6845,0.0810,0.0913,3.5370,4.1465,100
grpc,10000,request_latency_ms,3.6442,0.0944,0.0808,3.5117,4.3023,100
grpc,100000,request_latency_ms,3.6529,0.0908,0.0754,3.5110,4.2049,100
grpc,1000000,request_latency_ms,3.6995,0.1654,0.1138,3.4602,5.0314,100
rest_json,1,request_latency_ms,5.4028,0.0890,0.1218,5.2345,5.6885,100
rest_json,10,request_latency_ms,5.3764,0.0891,0.1215,5.2033,5.6022,100
rest_json,100,request_latency_ms,5.3702,0.1226,0.1305,5.0625,5.9795,100
rest_json,1000,request_latency_ms,5.3876,0.1028,0.1045,5.1976,5.7430,100
rest_json,10000,request_latency_ms,5.3823,0.0808,0.1214,5.2437,5.5917,100
rest_json,100000,request_latency_ms,5.4410,0.1264,0.1508,5.2394,6.0852,100
rest_json,1000000,request_latency_ms,5.5535,0.2186,0.1845,5.2363,6.8585,100
rest_proto,1,request_latency_ms,5.7984,0.1104,0.1120,5.5761,6.4530,100
rest_proto,10,request_latency_ms,5.7900,0.0979,0.1044,5.6030,6.1974,100
rest_proto,100,request_latency_ms,5.7858,0.0913,0.0912,5.5632,6.0728,100
rest_proto,1000,request_latency_ms,5.7751,0.0989,0.1017,5.6119,6.2023,100
rest_proto,10000,request_latency_ms,5.7697,0.0763,0.0707,5.5668,5.9808,100
rest_proto,100000,request_latency_ms,5.7541,0.0810,0.0986,5.5808,5.9772,100
rest_proto,1000000,request_latency_ms,6.0830,0.7900,0.1546,5.5974,8.8710,100
grpc,1,response_latency_ms,0.3432,0.0200,0.0320,0.3063,0.4096,100
grpc,10,response_latency_ms,0.3419,0.0174,0.0226,0.3068,0.3956,100
grpc,100,response_latency_ms,0.3687,0.0182,0.0245,0.3229,0.4117,100
grpc,1000,response_latency_ms,0.6053,0.0417,0.0505,0.5310,0.7503,100
grpc,10000,response_latency_ms,2.9030,0.1424,0.1888,2.6300,3.2895,100
grpc,100000,response_latency_ms,25.6460,1.2011,1.6153,23.1750,29.0422,100
grpc,1000000,response_latency_ms,247.5401,14.3987,13.9480,221.0141,301.6717,100
rest_json,1,response_latency_ms,0.1857,0.3490,0.0124,-3.2674,0.2434,100
rest_json,10,response_latency_ms,0.2112,0.2459,0.0157,-2.2157,0.2845,100
rest_json,100,response_latency_ms,0.4023,0.2348,0.0158,-1.9161,0.4916,100
rest_json,1000,response_latency_ms,2.2149,0.2211,0.0389,0.0501,2.3293,100
rest_json,10000,response_latency_ms,19.3728,0.2378,0.2641,18.6336,20.0743,100
rest_json,100000,response_latency_ms,197.1846,1.4381,1.9539,192.7663,201.4445,100
rest_json,1000000,response_latency_ms,1983.6063,30.0874,22.7513,1949.1489,2164.4640,100
rest_proto,1,response_latency_ms,0.1798,0.2878,0.0167,-2.6655,0.2473,100
rest_proto,10,response_latency_ms,0.1885,0.2420,0.0173,-2.2009,0.2845,100
rest_proto,100,response_latency_ms,0.2151,0.2511,0.0174,-2.2662,0.2755,100
rest_proto,1000,response_latency_ms,0.4930,0.2439,0.0301,-1.9066,0.6003,100
rest_proto,10000,response_latency_ms,3.1635,0.1306,0.1567,2.4011,3.4438,100
rest_proto,100000,response_latency_ms,29.4202,0.8720,1.1495,27.6835,31.8220,100
rest_proto,1000000,response_latency_ms,310.4355,9.9097,14.5961,294.1992,335.1521,100
