protocol,size,usage_side,ts,rss,cpu,perf_base_ns,epoch_base_ns
grpc,1,client,37815494019708,19202048,0.7000000000000001,37801799555250,1747488516924895000
grpc,1,client,37815495665666,20123648,2.5,37801799555250,1747488516924895000
grpc,1,client,37815496968291,20365312,2.4,37801799555250,1747488516924895000
grpc,1,client,37815498262625,20488192,1.5,37801799555250,1747488516924895000
grpc,1,client,37815499556833,20946944,2.4,37801799555250,1747488516924895000
grpc,1,client,37815500847791,21618688,2.4,37801799555250,1747488516924895000
grpc,1,client,37815502147875,21897216,1.9,37801799555250,1747488516924895000
grpc,1,client,37815503453958,22056960,2.4,37801799555250,1747488516924895000
grpc,1,client,37815504751041,22220800,1.9,37801799555250,1747488516924895000
grpc,1,client,37815506059833,22405120,2.0,37801799555250,1747488516924895000
grpc,1,client,37815507360750,22708224,2.3,37801799555250,1747488516924895000
grpc,1,client,37815508649000,22867968,2.5,37801799555250,1747488516924895000
grpc,1,client,37815509936625,23244800,2.4,37801799555250,1747488516924895000
grpc,1,client,37815511225666,23486464,2.4,37801799555250,1747488516924895000
grpc,1,client,37815512512666,23945216,2.3,37801799555250,1747488516924895000
grpc,1,client,37815513800041,24510464,2.5,37801799555250,1747488516924895000
grpc,1,client,37815515090541,24702976,2.4,37801799555250,1747488516924895000
grpc,1,client,37815516376916,24940544,2.4,37801799555250,1747488516924895000
grpc,1,client,37815517663208,25059328,2.4,37801799555250,1747488516924895000
grpc,1,client,37815518953833,25186304,1.7000000000000002,37801799555250,1747488516924895000
grpc,1,client,37815520244958,25653248,2.5,37801799555250,1747488516924895000
grpc,1,client,37815521532708,26177536,2.3,37801799555250,1747488516924895000
grpc,1,client,37815522821625,26411008,2.0,37801799555250,1747488516924895000
grpc,1,client,37815524111166,26533888,2.4,37801799555250,1747488516924895000
grpc,1,client,37815525397750,26726400,1.9,37801799555250,1747488516924895000
grpc,1,client,37815526687166,27013120,2.4,37801799555250,1747488516924895000
grpc,1,client,37815527976083,27185152,2.4,37801799555250,1747488516924895000
grpc,1,client,37815529262500,27488256,2.4,37801799555250,1747488516924895000
grpc,1,client,37815530549875,27889664,2.4,37801799555250,1747488516924895000
grpc,1,client,37815531836791,28278784,2.4,37801799555250,1747488516924895000
grpc,1,client,37815533123958,28446720,2.3,37801799555250,1747488516924895000
grpc,1,client,37815534413500,29138944,1.9,37801799555250,1747488516924895000
grpc,1,client,37815535702750,29708288,2.4,37801799555250,1747488516924895000
