protocol,size,usage_side,ts,rss,cpu,perf_base_ns,epoch_base_ns
grpc,1,client,90879900704917,20221952,2.1,90866091067917,1747938265551510000
grpc,1,client,90879902343834,20414464,1.8,90866091067917,1747938265551510000
grpc,1,client,90879903651625,20946944,2.4,90866091067917,1747938265551510000
grpc,1,client,90879904945209,21602304,2.4,90866091067917,1747938265551510000
grpc,1,client,90879906241375,21831680,1.9,90866091067917,1747938265551510000
grpc,1,client,90879907538584,21983232,2.5,90866091067917,1747938265551510000
grpc,1,client,90879908834000,22142976,1.9,90866091067917,1747938265551510000
grpc,1,client,90879910132584,22409216,2.2,90866091067917,1747938265551510000
grpc,1,client,90879911443375,22618112,2.0,90866091067917,1747938265551510000
grpc,1,client,90879912770542,22802432,2.8,90866091067917,1747938265551510000
grpc,1,client,90879914081417,23199744,2.4,90866091067917,1747938265551510000
grpc,1,client,90879915418042,23490560,2.3,90866091067917,1747938265551510000
grpc,1,client,90879916728334,23871488,2.4,90866091067917,1747938265551510000
grpc,1,client,90879918026000,24092672,2.4,90866091067917,1747938265551510000
grpc,1,client,90879919316667,24657920,2.4,90866091067917,1747938265551510000
grpc,1,client,90879920606375,24952832,2.4,90866091067917,1747938265551510000
grpc,1,client,90879921894417,25083904,2.5,90866091067917,1747938265551510000
grpc,1,client,90879923183417,25206784,1.9,90866091067917,1747938265551510000
grpc,1,client,90879924473334,25554944,2.3,90866091067917,1747938265551510000
grpc,1,client,90879925761542,25919488,2.4,90866091067917,1747938265551510000
grpc,1,client,90879927051209,26288128,1.9,90866091067917,1747938265551510000
grpc,1,client,90879928339709,26476544,1.4,90866091067917,1747938265551510000
grpc,1,client,90879929628042,26607616,2.8,90866091067917,1747938265551510000
grpc,1,client,90879930918542,26828800,2.5,90866091067917,1747938265551510000
grpc,1,client,90879932207375,27090944,2.4,90866091067917,1747938265551510000
grpc,1,client,90879933494125,27402240,2.4,90866091067917,1747938265551510000
grpc,1,client,90879934781709,27688960,2.4,90866091067917,1747938265551510000
grpc,1,client,90879936069375,28160000,2.4,90866091067917,1747938265551510000
grpc,1,client,90879937356834,28381184,2.4,90866091067917,1747938265551510000
grpc,1,client,90879938645709,29052928,1.7000000000000002,90866091067917,1747938265551510000
grpc,1,client,90879939934500,29691904,2.4,90866091067917,1747938265551510000
grpc,1,client,90879941222875,29954048,1.6,90866091067917,1747938265551510000
grpc,1,client,90879942510875,30089216,1.7000000000000002,90866091067917,1747938265551510000
grpc,1,client,90879943799667,30248960,1.2,90866091067917,1747938265551510000
grpc,1,client,90879945088250,30392320,1.8,90866091067917,1747938265551510000
grpc,1,client,90879946375459,30601216,2.4,90866091067917,1747938265551510000
grpc,1,client,90879947666500,30765056,1.7000000000000002,90866091067917,1747938265551510000
grpc,1,client,90879948956209,30900224,1.6,90866091067917,1747938265551510000
grpc,1,client,90879950243792,31191040,2.5,90866091067917,1747938265551510000
grpc,1,client,90879951540459,31539200,2.5,90866091067917,1747938265551510000
grpc,1,client,90879952862167,33202176,3.2,90866091067917,1747938265551510000
grpc,1,client,90879953933084,33775616,1.5,90866091067917,1747938265551510000
grpc,1,client,90879955239334,34390016,3.3,90866091067917,1747938265551510000
grpc,1,client,90879956542334,34394112,1.8,90866091067917,1747938265551510000
grpc,1,client,90879957850959,34414592,2.3,90866091067917,1747938265551510000
grpc,1,client,90879959184042,34414592,0.0,90866091067917,1747938265551510000
grpc,1,client,90879960487084,34418688,5.1,90866091067917,1747938265551510000
grpc,1,client,90879961797917,34422784,1.4,90866091067917,1747938265551510000
grpc,1,client,90879963104209,34426880,3.5,90866091067917,1747938265551510000
grpc,1,client,90879964405042,34447360,2.9,90866091067917,1747938265551510000
grpc,10,client,90923644562709,19578880,2.4,90910014251917,1747938309475800000
grpc,10,client,90923646204959,20086784,2.4,90910014251917,1747938309475800000
grpc,10,client,90923647530875,20230144,1.5,90910014251917,1747938309475800000
grpc,10,client,90923648848250,20570112,2.3,90910014251917,1747938309475800000
grpc,10,client,90923650149000,21143552,2.4,90910014251917,1747938309475800000
grpc,10,client,90923651477042,21368832,1.9,90910014251917,1747938309475800000
grpc,10,client,90923652793500,21512192,2.4,90910014251917,1747938309475800000
grpc,10,client,90923654101834,21716992,1.9,90910014251917,1747938309475800000
grpc,10,client,90923655401917,21909504,1.9,90910014251917,1747938309475800000
grpc,10,client,90923656696917,22183936,2.1,90910014251917,1747938309475800000
grpc,10,client,90923657990542,22396928,2.7,90910014251917,1747938309475800000
grpc,10,client,90923659283417,22798336,2.4,90910014251917,1747938309475800000
grpc,10,client,90923660573917,23072768,2.4,90910014251917,1747938309475800000
grpc,10,client,90923661864584,23531520,2.3,90910014251917,1747938309475800000
grpc,10,client,90923663171834,24104960,2.5,90910014251917,1747938309475800000
grpc,10,client,90923664469875,24322048,2.4,90910014251917,1747938309475800000
grpc,10,client,90923665760334,24584192,2.4,90910014251917,1747938309475800000
grpc,10,client,90923667051334,24748032,2.4,90910014251917,1747938309475800000
grpc,10,client,90923668344500,24997888,1.8,90910014251917,1747938309475800000
grpc,10,client,90923669646250,25292800,2.4,90910014251917,1747938309475800000
